# start_epoch_ms=1772061501233 interval_s=0.5 container=oai-nr-cu
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772061501233,oai-nr-cu,10.82,0.13,156.5MiB / 119.7GiB,7.8MB / 5.29MB,0B / 14.3MB,16
1772061504255,oai-nr-cu,16.37,0.13,156.6MiB / 119.7GiB,34.7MB / 32.3MB,0B / 14.3MB,16
1772061507263,oai-nr-cu,17.61,0.13,156.7MiB / 119.7GiB,62.6MB / 60.3MB,0B / 14.3MB,16
1772061510270,oai-nr-cu,16.37,0.13,156.7MiB / 119.7GiB,90.5MB / 88.4MB,0B / 14.3MB,16
1772061513279,oai-nr-cu,17.68,0.13,156.5MiB / 119.7GiB,118MB / 116MB,0B / 14.3MB,16
1772061516286,oai-nr-cu,16.18,0.13,156.5MiB / 119.7GiB,146MB / 144MB,0B / 14.3MB,16
1772061519293,oai-nr-cu,16.73,0.13,156.6MiB / 119.7GiB,174MB / 172MB,0B / 14.3MB,16
1772061522299,oai-nr-cu,15.94,0.13,157.1MiB / 119.7GiB,202MB / 201MB,0B / 14.3MB,16
1772061525307,oai-nr-cu,17.05,0.13,156.5MiB / 119.7GiB,230MB / 229MB,0B / 14.4MB,16
1772061528314,oai-nr-cu,15.91,0.13,156.5MiB / 119.7GiB,258MB / 257MB,0B / 14.4MB,16
1772061531322,oai-nr-cu,16.44,0.13,156.7MiB / 119.7GiB,286MB / 284MB,0B / 14.4MB,16
1772061534329,oai-nr-cu,16.5,0.13,156.7MiB / 119.7GiB,313MB / 312MB,0B / 14.4MB,16
1772061537338,oai-nr-cu,17.66,0.13,156.5MiB / 119.7GiB,341MB / 340MB,0B / 14.4MB,16
1772061540347,oai-nr-cu,17.59,0.13,156.7MiB / 119.7GiB,369MB / 368MB,0B / 14.4MB,16
1772061543353,oai-nr-cu,16.91,0.13,156.5MiB / 119.7GiB,397MB / 396MB,0B / 14.4MB,16
1772061546359,oai-nr-cu,17.73,0.13,156.7MiB / 119.7GiB,425MB / 424MB,0B / 14.4MB,16
1772061549367,oai-nr-cu,16.27,0.13,156.6MiB / 119.7GiB,452MB / 452MB,0B / 14.5MB,16
1772061552375,oai-nr-cu,16.88,0.13,156.5MiB / 119.7GiB,480MB / 480MB,0B / 14.5MB,16
1772061555383,oai-nr-cu,17.09,0.13,156.6MiB / 119.7GiB,508MB / 508MB,0B / 14.5MB,16
1772061558390,oai-nr-cu,16.31,0.13,156.7MiB / 119.7GiB,536MB / 536MB,0B / 14.5MB,16
