# start_epoch_ms=1772061501233 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772061501233,oai-nr-du,208.65,0.82,1002MiB / 119.7GiB,49.1GB / 49.1GB,0B / 14MB,22
1772061503251,oai-nr-du,291.23,0.82,1003MiB / 119.7GiB,51.4GB / 51.4GB,0B / 14MB,22
1772061506260,oai-nr-du,290.46,0.82,1003MiB / 119.7GiB,53.7GB / 53.8GB,0B / 14MB,22
1772061509267,oai-nr-du,289.5,0.82,1002MiB / 119.7GiB,56GB / 56.1GB,0B / 14MB,22
1772061512275,oai-nr-du,289.77,0.82,1003MiB / 119.7GiB,58.4GB / 58.4GB,0B / 14MB,22
1772061515283,oai-nr-du,289.66,0.82,1002MiB / 119.7GiB,60.7GB / 60.8GB,0B / 14MB,22
1772061518291,oai-nr-du,288.99,0.82,1003MiB / 119.7GiB,63GB / 63.1GB,0B / 14MB,22
1772061521297,oai-nr-du,289.95,0.82,1002MiB / 119.7GiB,65.3GB / 65.5GB,0B / 14MB,22
1772061524304,oai-nr-du,288.74,0.82,1003MiB / 119.7GiB,67.7GB / 67.9GB,0B / 14MB,22
1772061527314,oai-nr-du,292.35,0.82,1002MiB / 119.7GiB,70GB / 70.2GB,0B / 14MB,22
1772061530319,oai-nr-du,290.93,0.82,1002MiB / 119.7GiB,72.3GB / 72.5GB,0B / 14MB,22
1772061533326,oai-nr-du,289.83,0.82,1003MiB / 119.7GiB,74.6GB / 74.9GB,0B / 14MB,22
1772061536334,oai-nr-du,290.55,0.82,1002MiB / 119.7GiB,76.9GB / 77.2GB,0B / 14MB,22
1772061539343,oai-nr-du,290.0,0.82,1002MiB / 119.7GiB,79.2GB / 79.6GB,0B / 14MB,22
1772061542351,oai-nr-du,289.37,0.82,1003MiB / 119.7GiB,81.6GB / 81.9GB,0B / 14MB,22
1772061545356,oai-nr-du,287.55,0.82,1003MiB / 119.7GiB,83.9GB / 84.3GB,0B / 14MB,22
1772061548363,oai-nr-du,290.36,0.82,1002MiB / 119.7GiB,86.2GB / 86.6GB,0B / 14MB,22
1772061551370,oai-nr-du,288.62,0.82,1002MiB / 119.7GiB,88.5GB / 89GB,0B / 14MB,22
1772061554378,oai-nr-du,289.07,0.82,1002MiB / 119.7GiB,90.8GB / 91.3GB,0B / 14MB,22
1772061557386,oai-nr-du,291.66,0.82,1004MiB / 119.7GiB,93.2GB / 93.7GB,0B / 14MB,28
