# start_epoch_ms=1772062021040 interval_s=0.5 source=/proc/stat
ts_epoch_ms,cpu_total_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,load1,load5,load15,procs_running,procs_total
1772062021040,nan,nan,nan,nan,nan,2.91,2.47,1.86,10,2519
1772062021540,20.020325,9.451220,10.569106,0.203252,79.776423,2.91,2.47,1.86,4,2696
1772062022041,14.878543,6.983806,7.894737,0.000000,85.121457,2.84,2.46,1.86,2,2701
1772062022541,15.036045,7.415036,7.621009,0.000000,84.963955,2.84,2.46,1.86,4,2702
1772062023042,16.093117,7.287449,8.805668,0.000000,83.906883,2.84,2.46,1.86,2,2692
1772062023542,15.821501,7.302231,8.519270,0.000000,84.178499,2.84,2.46,1.86,7,2702
1772062024042,15.906788,7.396150,8.510638,0.000000,84.093212,2.84,2.46,1.86,3,2694
1772062024543,15.510204,7.448980,8.061224,0.000000,84.489796,2.84,2.46,1.86,5,2707
1772062025043,16.040609,7.614213,8.426396,0.000000,83.959391,2.84,2.46,1.86,6,2707
1772062025544,16.649642,8.273749,8.375894,0.000000,83.350358,2.84,2.46,1.86,5,2710
1772062026044,18.458418,8.924949,9.533469,0.000000,81.541582,2.84,2.46,1.86,2,2700
1772062026545,14.963880,7.843137,7.120743,0.206398,84.829721,2.84,2.46,1.86,4,2710
1772062027045,16.497976,7.894737,8.603239,0.000000,83.502024,2.69,2.44,1.86,9,2697
1772062027545,16.683622,8.240081,8.443540,0.000000,83.316378,2.69,2.44,1.86,4,2707
1772062028046,16.446701,8.020305,8.426396,0.000000,83.553299,2.69,2.44,1.86,4,2707
1772062028546,16.191446,7.942974,8.248473,0.000000,83.808554,2.69,2.44,1.86,3,2706
1772062029046,16.446701,8.223350,8.223350,0.000000,83.553299,2.69,2.44,1.86,16,2698
1772062029547,17.487437,8.442211,9.045226,0.000000,82.512563,2.69,2.44,1.86,8,2708
1772062030047,16.530612,8.367347,8.163265,0.000000,83.469388,2.69,2.44,1.86,2,2698
1772062030547,17.682927,8.841463,8.841463,0.000000,82.317073,2.69,2.44,1.86,2,2707
1772062031048,16.479017,8.700102,7.778915,0.000000,83.520983,2.69,2.44,1.86,2,2707
1772062031548,17.813765,8.805668,9.008097,0.101215,82.085020,2.69,2.44,1.86,2,2708
1772062032048,16.086066,8.094262,7.991803,0.000000,83.913934,2.56,2.42,1.85,11,2698
1772062032549,18.488253,9.193054,9.295199,0.000000,81.511747,2.56,2.42,1.85,2,2710
1772062033049,17.586912,8.691207,8.895706,0.000000,82.413088,2.56,2.42,1.85,4,2700
1772062033549,18.099090,8.897877,9.201213,0.000000,81.900910,2.56,2.42,1.85,2,2710
1772062034049,16.973415,8.282209,8.691207,0.000000,83.026585,2.56,2.42,1.85,2,2707
1772062034550,16.408669,8.359133,8.049536,0.000000,83.591331,2.56,2.42,1.85,2,2708
1772062035050,16.632653,8.367347,8.265306,0.000000,83.367347,2.56,2.42,1.85,2,2698
1772062035550,17.378049,9.146341,8.231707,0.000000,82.621951,2.56,2.42,1.85,8,2707
1772062036051,16.837782,8.418891,8.418891,0.000000,83.162218,2.56,2.42,1.85,2,2697
1772062036551,17.280164,8.997955,8.282209,0.204499,82.515337,2.56,2.42,1.85,2,2708
1772062037051,17.737003,9.480122,8.256881,0.000000,82.262997,2.43,2.39,1.85,2,2708
1772062037552,16.477858,8.444902,8.032956,0.000000,83.522142,2.43,2.39,1.85,2,2707
1772062038052,17.664975,9.035533,8.629442,0.000000,82.335025,2.43,2.39,1.85,8,2698
1772062038552,16.819572,8.256881,8.562691,0.000000,83.180428,2.43,2.39,1.85,4,2709
1772062039053,16.581892,7.833164,8.748728,0.000000,83.418108,2.43,2.39,1.85,2,2699
1772062039553,16.921509,8.766565,8.154944,0.000000,83.078491,2.43,2.39,1.85,10,2709
1772062040053,17.189080,8.392315,8.796764,0.000000,82.810920,2.43,2.39,1.85,8,2709
1772062040554,16.581372,8.393040,8.188332,0.000000,83.418628,2.43,2.39,1.85,2,2712
1772062041054,15.913758,8.316222,7.597536,0.000000,84.086242,2.43,2.39,1.85,5,2701
1772062041554,16.428571,7.959184,8.469388,0.204082,83.367347,2.43,2.39,1.85,9,2708
1772062042055,16.632653,8.571429,8.061224,0.000000,83.367347,2.32,2.37,1.84,3,2698
1772062042555,18.200409,8.895706,9.304703,0.000000,81.799591,2.32,2.37,1.84,7,2708
1772062043055,17.280164,8.179959,9.100204,0.000000,82.719836,2.32,2.37,1.84,3,2707
1772062043556,17.346939,8.877551,8.469388,0.000000,82.653061,2.32,2.37,1.84,11,2708
1772062044056,16.598361,8.299180,8.299180,0.000000,83.401639,2.32,2.37,1.84,4,2698
1772062044556,16.855087,8.530319,8.324769,0.000000,83.144913,2.32,2.37,1.84,12,2707
1772062045057,16.921509,8.664628,8.256881,0.000000,83.078491,2.32,2.37,1.84,2,2697
1772062045557,17.831814,8.713273,9.118541,0.000000,82.168186,2.32,2.37,1.84,5,2708
1772062046057,17.777778,8.585859,9.191919,0.000000,82.222222,2.32,2.37,1.84,5,2709
1772062046558,16.598361,8.606557,7.991803,0.102459,83.299180,2.32,2.37,1.84,16,2709
1772062047058,16.393443,8.196721,8.196721,0.000000,83.606557,2.69,2.45,1.87,2,2699
1772062047558,17.058223,8.580184,8.478039,0.000000,82.941777,2.69,2.45,1.87,6,2709
1772062048059,16.393443,8.196721,8.196721,0.000000,83.606557,2.69,2.45,1.87,6,2698
1772062048559,16.887080,8.646999,8.240081,0.000000,83.112920,2.69,2.45,1.87,2,2707
1772062049059,16.700611,8.452138,8.248473,0.000000,83.299389,2.69,2.45,1.87,6,2707
1772062049560,16.257669,8.282209,7.975460,0.000000,83.742331,2.69,2.45,1.87,5,2707
1772062050060,16.598778,8.248473,8.350305,0.000000,83.401222,2.69,2.45,1.87,4,2697
1772062050560,16.887080,8.443540,8.443540,0.000000,83.112920,2.69,2.45,1.87,5,2708
1772062051061,16.751269,8.426396,8.324873,0.000000,83.248731,2.69,2.45,1.87,2,2699
1772062051561,17.329256,8.562691,8.766565,0.101937,82.568807,2.69,2.45,1.87,2,2713
1772062052061,16.700611,8.350305,8.350305,0.000000,83.299389,2.56,2.42,1.86,15,2713
1772062052562,17.827869,8.913934,8.913934,0.000000,82.172131,2.56,2.42,1.86,2,2711
1772062053062,17.093142,8.597748,8.495394,0.000000,82.906858,2.56,2.42,1.86,4,2715
1772062053562,17.227319,8.562691,8.664628,0.000000,82.772681,2.56,2.42,1.86,3,2710
1772062054063,17.311609,8.146640,9.164969,0.000000,82.688391,2.56,2.42,1.86,2,2698
1772062054563,17.329256,9.072375,8.256881,0.000000,82.670744,2.56,2.42,1.86,9,2723
1772062055063,16.495902,8.401639,8.094262,0.000000,83.504098,2.56,2.42,1.86,6,2708
1772062055564,17.346939,8.673469,8.673469,0.000000,82.653061,2.56,2.42,1.86,12,2707
1772062056064,17.311609,8.553971,8.757637,0.000000,82.688391,2.56,2.42,1.86,9,2700
1772062056564,16.888434,8.802456,8.085977,0.204708,82.906858,2.56,2.42,1.86,3,2707
