# start_epoch_ms=1771540200385 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1771540200385,oai-nr-du,209.58,0.82,1002MiB / 119.7GiB,58.9GB / 58.9GB,0B / 14MB,22
1771540202402,oai-nr-du,292.5,0.82,1002MiB / 119.7GiB,61.2GB / 61.3GB,0B / 14MB,22
1771540205411,oai-nr-du,292.95,0.82,1003MiB / 119.7GiB,63.5GB / 63.6GB,0B / 14MB,22
1771540208419,oai-nr-du,291.97,0.82,1001MiB / 119.7GiB,65.9GB / 65.9GB,0B / 14MB,22
1771540211429,oai-nr-du,290.58,0.82,1002MiB / 119.7GiB,68.2GB / 68.3GB,0B / 14MB,22
1771540214437,oai-nr-du,293.55,0.82,1002MiB / 119.7GiB,70.5GB / 70.6GB,0B / 14MB,22
1771540217447,oai-nr-du,292.21,0.82,1003MiB / 119.7GiB,72.8GB / 72.9GB,0B / 14MB,22
1771540220453,oai-nr-du,288.41,0.82,1002MiB / 119.7GiB,75.1GB / 75.3GB,0B / 14MB,22
1771540223460,oai-nr-du,291.22,0.82,1002MiB / 119.7GiB,77.4GB / 77.6GB,0B / 14MB,22
1771540226468,oai-nr-du,290.72,0.82,1002MiB / 119.7GiB,79.8GB / 80GB,0B / 14MB,22
1771540229476,oai-nr-du,288.12,0.82,1001MiB / 119.7GiB,82.1GB / 82.3GB,0B / 14MB,22
1771540232482,oai-nr-du,293.3,0.82,1002MiB / 119.7GiB,84.4GB / 84.7GB,0B / 14MB,22
1771540235488,oai-nr-du,289.52,0.82,1002MiB / 119.7GiB,86.7GB / 87GB,0B / 14MB,22
1771540238496,oai-nr-du,289.86,0.82,1002MiB / 119.7GiB,89GB / 89.4GB,0B / 14MB,22
1771540241504,oai-nr-du,293.28,0.82,1002MiB / 119.7GiB,91.3GB / 91.7GB,0B / 14MB,22
1771540244512,oai-nr-du,290.39,0.82,1002MiB / 119.7GiB,93.6GB / 94GB,0B / 14MB,22
1771540247519,oai-nr-du,297.91,0.82,1002MiB / 119.7GiB,96GB / 96.4GB,0B / 14MB,22
1771540250526,oai-nr-du,292.57,0.82,1003MiB / 119.7GiB,98.4GB / 98.8GB,0B / 14MB,22
1771540253533,oai-nr-du,296.92,0.82,1002MiB / 119.7GiB,101GB / 101GB,0B / 14MB,22
1771540256539,oai-nr-du,295.65,0.82,1002MiB / 119.7GiB,103GB / 104GB,0B / 14MB,22
