# start_epoch_ms=1771540841133 interval_s=0.5 container=oai-nr-cu
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1771540841133,oai-nr-cu,3.18,0.13,162.7MiB / 119.7GiB,2.71MB / 164kB,0B / 14.6MB,16
1771540843151,oai-nr-cu,5.46,0.13,162.7MiB / 119.7GiB,4.02MB / 1.49MB,0B / 14.6MB,16
1771540846161,oai-nr-cu,4.55,0.13,162.7MiB / 119.7GiB,7.03MB / 4.51MB,0B / 14.6MB,16
1771540849169,oai-nr-cu,5.93,0.13,162.7MiB / 119.7GiB,12.9MB / 10.4MB,0B / 14.6MB,16
1771540852175,oai-nr-cu,5.83,0.13,162.7MiB / 119.7GiB,20.5MB / 18MB,0B / 14.6MB,16
1771540855180,oai-nr-cu,6.08,0.13,163.2MiB / 119.7GiB,28.1MB / 25.7MB,0B / 14.6MB,16
1771540858188,oai-nr-cu,5.89,0.13,162.7MiB / 119.7GiB,35.7MB / 33.4MB,0B / 14.6MB,16
1771540861195,oai-nr-cu,5.5,0.13,162.9MiB / 119.7GiB,43.2MB / 40.9MB,0B / 14.6MB,16
1771540864222,oai-nr-cu,5.97,0.13,162.9MiB / 119.7GiB,50.6MB / 48.3MB,0B / 14.7MB,16
1771540867229,oai-nr-cu,5.76,0.13,162.7MiB / 119.7GiB,58MB / 55.8MB,0B / 14.7MB,16
1771540870237,oai-nr-cu,5.34,0.13,162.7MiB / 119.7GiB,65.3MB / 63.1MB,0B / 14.7MB,16
1771540873243,oai-nr-cu,6.43,0.13,162.7MiB / 119.7GiB,72.6MB / 70.4MB,0B / 14.7MB,16
1771540876251,oai-nr-cu,5.64,0.13,162.9MiB / 119.7GiB,79.9MB / 77.8MB,0B / 14.7MB,16
1771540879260,oai-nr-cu,5.6,0.13,162.9MiB / 119.7GiB,87.2MB / 85.1MB,0B / 14.7MB,16
1771540882267,oai-nr-cu,5.47,0.13,162.7MiB / 119.7GiB,94.4MB / 92.4MB,0B / 14.7MB,16
1771540885276,oai-nr-cu,5.86,0.13,162.7MiB / 119.7GiB,102MB / 99.7MB,0B / 14.7MB,16
1771540888284,oai-nr-cu,5.68,0.13,162.7MiB / 119.7GiB,109MB / 107MB,0B / 14.8MB,16
1771540891291,oai-nr-cu,5.6,0.13,162.9MiB / 119.7GiB,116MB / 114MB,0B / 14.8MB,16
1771540894301,oai-nr-cu,5.35,0.13,162.9MiB / 119.7GiB,124MB / 122MB,0B / 14.8MB,16
1771540897309,oai-nr-cu,5.59,0.13,162.9MiB / 119.7GiB,131MB / 129MB,0B / 14.8MB,16
