# start_epoch_ms=1771460688584 interval_s=0.5 container=oai-nr-cu
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1771460688584,oai-nr-cu,21.3,0.13,153.6MiB / 119.7GiB,14.7MB / 14.8MB,0B / 299kB,16
1771460691178,oai-nr-cu,20.35,0.13,153.6MiB / 119.7GiB,59.3MB / 59.6MB,0B / 311kB,16
1771460694213,oai-nr-cu,21.29,0.13,153.5MiB / 119.7GiB,89MB / 89.4MB,0B / 319kB,16
1771460696242,oai-nr-cu,19.91,0.13,153.6MiB / 119.7GiB,134MB / 134MB,0B / 332kB,16
1771460699278,oai-nr-cu,21.06,0.13,153.4MiB / 119.7GiB,163MB / 164MB,0B / 340kB,16
1771460701306,oai-nr-cu,19.73,0.13,153.6MiB / 119.7GiB,208MB / 209MB,0B / 352kB,16
1771460704349,oai-nr-cu,18.87,0.13,153.5MiB / 119.7GiB,252MB / 253MB,0B / 365kB,16
1771460707382,oai-nr-cu,20.71,0.13,153.4MiB / 119.7GiB,281MB / 283MB,0B / 373kB,16
1771460709410,oai-nr-cu,21.84,0.13,153.6MiB / 119.7GiB,311MB / 312MB,0B / 381kB,16
1771460711428,oai-nr-cu,19.66,0.13,153.5MiB / 119.7GiB,340MB / 341MB,0B / 389kB,16
1771460713466,oai-nr-cu,21.62,0.13,153.6MiB / 119.7GiB,381MB / 383MB,0B / 401kB,16
1771460716497,oai-nr-cu,19.37,0.13,153.6MiB / 119.7GiB,410MB / 412MB,0B / 410kB,16
1771460718526,oai-nr-cu,19.56,0.13,153.4MiB / 119.7GiB,438MB / 441MB,0B / 418kB,16
1771460720558,oai-nr-cu,20.01,0.13,153.6MiB / 119.7GiB,483MB / 485MB,0B / 430kB,16
1771460723585,oai-nr-cu,19.37,0.13,153.4MiB / 119.7GiB,511MB / 513MB,0B / 438kB,16
1771460725613,oai-nr-cu,21.41,0.13,153.4MiB / 119.7GiB,553MB / 556MB,0B / 451kB,16
1771460728650,oai-nr-cu,19.33,0.13,153.6MiB / 119.7GiB,582MB / 585MB,0B / 463kB,16
1771460730677,oai-nr-cu,20.63,0.13,153.6MiB / 119.7GiB,610MB / 613MB,0B / 471kB,16
1771460732709,oai-nr-cu,19.66,0.13,153.4MiB / 119.7GiB,653MB / 656MB,0B / 483kB,16
1771460735745,oai-nr-cu,20.99,0.13,153.6MiB / 119.7GiB,698MB / 701MB,0B / 496kB,16
1771460738788,oai-nr-cu,20.53,0.13,153.4MiB / 119.7GiB,742MB / 746MB,0B / 508kB,16
1771460741822,oai-nr-cu,21.82,0.13,153.4MiB / 119.7GiB,787MB / 791MB,0B / 520kB,16
1771460744858,oai-nr-cu,22.75,0.13,153.6MiB / 119.7GiB,831MB / 836MB,0B / 532kB,16
