# start_epoch_ms=1771460917420 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1771460917420,oai-nr-du,212.29,0.89,1.071GiB / 119.7GiB,37.2GB / 37.2GB,0B / 98.3kB,24
1771460919518,oai-nr-du,320.35,0.89,1.071GiB / 119.7GiB,38.8GB / 38.8GB,0B / 98.3kB,24
1771460921555,oai-nr-du,328.39,0.89,1.071GiB / 119.7GiB,41.2GB / 41.2GB,0B / 98.3kB,24
1771460924595,oai-nr-du,329.16,0.9,1.071GiB / 119.7GiB,42.7GB / 42.8GB,0B / 98.3kB,24
1771460926628,oai-nr-du,327.84,0.9,1.071GiB / 119.7GiB,44.3GB / 44.4GB,0B / 98.3kB,24
1771460928668,oai-nr-du,329.02,0.89,1.071GiB / 119.7GiB,46.7GB / 46.8GB,0B / 98.3kB,24
1771460931710,oai-nr-du,326.27,0.89,1.071GiB / 119.7GiB,48.3GB / 48.4GB,0B / 98.3kB,24
1771460933738,oai-nr-du,331.88,0.89,1.071GiB / 119.7GiB,50.6GB / 50.8GB,0B / 106kB,24
1771460936796,oai-nr-du,334.16,0.89,1.071GiB / 119.7GiB,53GB / 53.2GB,0B / 106kB,24
1771460939839,oai-nr-du,331.72,0.9,1.071GiB / 119.7GiB,55.5GB / 55.6GB,0B / 106kB,24
1771460942888,oai-nr-du,332.09,0.89,1.071GiB / 119.7GiB,57.1GB / 57.3GB,0B / 106kB,24
1771460944918,oai-nr-du,326.89,0.89,1.071GiB / 119.7GiB,58.6GB / 58.9GB,0B / 106kB,24
1771460946960,oai-nr-du,327.4,0.89,1.07GiB / 119.7GiB,61GB / 61.3GB,0B / 106kB,24
1771460950011,oai-nr-du,329.68,0.89,1.071GiB / 119.7GiB,62.6GB / 62.9GB,0B / 106kB,24
1771460952040,oai-nr-du,328.44,0.9,1.071GiB / 119.7GiB,64.2GB / 64.5GB,0B / 106kB,24
1771460954076,oai-nr-du,333.9,0.9,1.071GiB / 119.7GiB,65.8GB / 66.1GB,0B / 106kB,24
1771460956115,oai-nr-du,329.33,0.9,1.072GiB / 119.7GiB,68.2GB / 68.5GB,0B / 106kB,24
1771460959166,oai-nr-du,349.13,0.9,1.072GiB / 119.7GiB,69.7GB / 70.1GB,0B / 106kB,24
1771460961189,oai-nr-du,328.75,0.89,1.071GiB / 119.7GiB,71.3GB / 71.7GB,0B / 106kB,24
1771460963226,oai-nr-du,325.65,0.9,1.072GiB / 119.7GiB,72.9GB / 73.3GB,0B / 106kB,24
1771460965258,oai-nr-du,325.62,0.89,1.071GiB / 119.7GiB,74.5GB / 74.9GB,0B / 115kB,24
1771460967301,oai-nr-du,330.52,0.9,1.072GiB / 119.7GiB,76.1GB / 76.5GB,0B / 115kB,24
1771460969333,oai-nr-du,342.57,0.89,1.071GiB / 119.7GiB,77.6GB / 78.1GB,0B / 115kB,24
1771460971368,oai-nr-du,325.93,0.89,1.071GiB / 119.7GiB,79.2GB / 79.7GB,0B / 115kB,24
1771460973393,oai-nr-du,338.32,0.89,1.07GiB / 119.7GiB,80.8GB / 81.3GB,0B / 115kB,24
1771460975427,oai-nr-du,348.51,0.9,1.072GiB / 119.7GiB,82.4GB / 82.9GB,0B / 115kB,24
