# start_epoch_ms=1771461489929 interval_s=0.5
ts_epoch_ms,gpu_index,power_draw_w,power_limit_w,temp_gpu_c
1771461489929,0,11.59,[N/A],48
1771461490464,0,11.99,[N/A],48
1771461490996,0,12.52,[N/A],48
1771461491525,0,13.03,[N/A],48
1771461492052,0,13.46,[N/A],48
1771461492577,0,13.63,[N/A],48
1771461493101,0,13.63,[N/A],48
1771461493629,0,14.02,[N/A],48
1771461494159,0,14.36,[N/A],48
1771461494684,0,14.12,[N/A],48
1771461495213,0,14.11,[N/A],48
1771461495739,0,14.38,[N/A],48
1771461496265,0,14.99,[N/A],48
1771461496796,0,15.32,[N/A],49
1771461497322,0,15.33,[N/A],48
1771461497850,0,15.95,[N/A],49
1771461498376,0,16.36,[N/A],49
1771461498904,0,16.67,[N/A],49
1771461499429,0,16.78,[N/A],49
1771461499955,0,16.53,[N/A],49
1771461500480,0,16.96,[N/A],49
1771461501006,0,17.31,[N/A],49
1771461501530,0,17.08,[N/A],49
1771461502054,0,16.64,[N/A],50
1771461502580,0,16.86,[N/A],50
1771461503108,0,16.86,[N/A],49
1771461503635,0,16.65,[N/A],49
1771461504160,0,16.92,[N/A],50
1771461504685,0,17.10,[N/A],50
1771461505209,0,16.89,[N/A],49
1771461505737,0,16.68,[N/A],49
1771461506263,0,16.62,[N/A],49
1771461506791,0,16.70,[N/A],50
1771461507315,0,17.00,[N/A],50
1771461507842,0,17.07,[N/A],50
1771461508367,0,16.72,[N/A],50
1771461508895,0,16.68,[N/A],50
1771461509421,0,16.68,[N/A],50
1771461509949,0,16.73,[N/A],49
1771461510473,0,16.68,[N/A],49
1771461510997,0,16.75,[N/A],50
1771461511522,0,17.19,[N/A],50
1771461512047,0,17.08,[N/A],50
1771461512571,0,16.76,[N/A],50
1771461513096,0,16.71,[N/A],50
1771461513626,0,16.70,[N/A],50
1771461514152,0,16.68,[N/A],50
1771461514679,0,16.64,[N/A],50
1771461515205,0,16.71,[N/A],50
1771461515730,0,16.65,[N/A],50
1771461516255,0,16.65,[N/A],50
1771461516780,0,16.70,[N/A],50
1771461517304,0,16.68,[N/A],50
1771461517829,0,16.75,[N/A],50
1771461518354,0,16.70,[N/A],50
1771461518881,0,16.74,[N/A],50
1771461519407,0,17.07,[N/A],50
1771461519931,0,17.19,[N/A],50
1771461520454,0,17.01,[N/A],50
1771461520983,0,16.70,[N/A],50
1771461521508,0,16.74,[N/A],50
1771461522032,0,17.03,[N/A],50
1771461522556,0,17.33,[N/A],51
1771461523083,0,17.34,[N/A],50
1771461523608,0,17.00,[N/A],50
1771461524135,0,16.71,[N/A],50
1771461524660,0,16.76,[N/A],50
1771461525184,0,16.78,[N/A],50
1771461525712,0,17.15,[N/A],50
1771461526241,0,17.41,[N/A],50
1771461526766,0,17.25,[N/A],50
1771461527295,0,16.89,[N/A],50
1771461527823,0,16.72,[N/A],50
1771461528348,0,16.72,[N/A],50
1771461528874,0,17.12,[N/A],50
1771461529401,0,17.61,[N/A],50
1771461529926,0,17.12,[N/A],50
1771461530454,0,16.75,[N/A],50
1771461530978,0,16.83,[N/A],50
1771461531505,0,17.13,[N/A],51
1771461532033,0,17.04,[N/A],50
1771461532559,0,17.06,[N/A],50
1771461533084,0,17.14,[N/A],50
1771461533610,0,17.27,[N/A],50
1771461534136,0,17.25,[N/A],50
1771461534660,0,17.03,[N/A],50
1771461535185,0,17.30,[N/A],50
1771461535713,0,16.98,[N/A],50
1771461536242,0,17.24,[N/A],51
1771461536770,0,17.68,[N/A],50
1771461537297,0,17.40,[N/A],50
1771461537822,0,17.11,[N/A],50
1771461538347,0,17.11,[N/A],50
1771461538873,0,17.56,[N/A],51
1771461539398,0,17.55,[N/A],51
1771461539922,0,17.68,[N/A],51
1771461540446,0,17.65,[N/A],51
1771461540976,0,17.19,[N/A],51
1771461541503,0,16.96,[N/A],51
1771461542030,0,17.01,[N/A],51
1771461542556,0,17.39,[N/A],51
1771461543084,0,17.35,[N/A],51
1771461543610,0,16.98,[N/A],51
1771461544139,0,17.37,[N/A],51
1771461544667,0,17.85,[N/A],51
1771461545194,0,17.54,[N/A],51
1771461545720,0,17.22,[N/A],51
1771461546246,0,17.07,[N/A],51
1771461546771,0,17.09,[N/A],51
1771461547296,0,17.16,[N/A],51
1771461547823,0,17.30,[N/A],51
1771461548349,0,17.41,[N/A],51
1771461548879,0,17.33,[N/A],51
1771461549407,0,17.50,[N/A],51
