# start_epoch_ms=1772064169131 interval_s=0.5 container=oai-nr-cu
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772064169131,oai-nr-cu,7.11,0.13,158.1MiB / 119.7GiB,1.34MB / 1.33MB,0B / 1.76MB,16
1772064172155,oai-nr-cu,8.68,0.13,158.1MiB / 119.7GiB,9.46MB / 9.5MB,0B / 1.77MB,16
1772064175165,oai-nr-cu,10.24,0.13,158.3MiB / 119.7GiB,23.9MB / 24MB,0B / 1.79MB,16
1772064178170,oai-nr-cu,10.75,0.13,158.3MiB / 119.7GiB,38.5MB / 38.7MB,0B / 1.8MB,16
1772064181178,oai-nr-cu,10.58,0.13,158.3MiB / 119.7GiB,53.1MB / 53.4MB,0B / 1.81MB,16
1772064184186,oai-nr-cu,9.48,0.13,158.3MiB / 119.7GiB,67.8MB / 68.1MB,0B / 1.82MB,16
1772064187193,oai-nr-cu,9.63,0.13,158.3MiB / 119.7GiB,82.4MB / 82.8MB,0B / 1.84MB,16
1772064190202,oai-nr-cu,8.99,0.13,158.1MiB / 119.7GiB,96.9MB / 97.4MB,0B / 1.85MB,16
1772064193210,oai-nr-cu,9.69,0.13,158.3MiB / 119.7GiB,111MB / 112MB,0B / 1.86MB,16
1772064196217,oai-nr-cu,9.91,0.13,158.3MiB / 119.7GiB,126MB / 126MB,0B / 1.87MB,16
1772064199225,oai-nr-cu,9.81,0.13,158.1MiB / 119.7GiB,140MB / 141MB,0B / 1.88MB,16
1772064202231,oai-nr-cu,9.45,0.13,158.1MiB / 119.7GiB,155MB / 155MB,0B / 1.9MB,16
1772064205239,oai-nr-cu,10.0,0.13,158.1MiB / 119.7GiB,170MB / 171MB,0B / 1.91MB,16
1772064208246,oai-nr-cu,10.51,0.13,158.3MiB / 119.7GiB,185MB / 186MB,0B / 1.92MB,16
1772064211256,oai-nr-cu,10.45,0.13,158.3MiB / 119.7GiB,201MB / 201MB,0B / 1.93MB,16
1772064214263,oai-nr-cu,9.24,0.13,158.3MiB / 119.7GiB,215MB / 216MB,0B / 1.95MB,16
1772064217268,oai-nr-cu,10.8,0.13,158.3MiB / 119.7GiB,230MB / 231MB,0B / 1.96MB,16
1772064220274,oai-nr-cu,9.52,0.13,158.1MiB / 119.7GiB,244MB / 246MB,0B / 1.97MB,16
1772064223283,oai-nr-cu,9.02,0.13,158.3MiB / 119.7GiB,259MB / 260MB,0B / 1.98MB,16
1772064226289,oai-nr-cu,8.94,0.13,158.1MiB / 119.7GiB,274MB / 275MB,0B / 1.99MB,16
