# start_epoch_ms=1772064169131 interval_s=0.5 container=oai-nr-du
ts_epoch_ms,container,cpu_percent,mem_percent,mem_usage,net_io,block_io,pids
1772064169131,oai-nr-du,167.92,0.91,1.084GiB / 119.7GiB,320GB / 320GB,0B / 205kB,24
1772064171151,oai-nr-du,198.74,0.91,1.084GiB / 119.7GiB,322GB / 322GB,0B / 213kB,24
1772064174160,oai-nr-du,230.94,0.91,1.084GiB / 119.7GiB,325GB / 325GB,0B / 213kB,24
1772064177167,oai-nr-du,230.11,0.91,1.084GiB / 119.7GiB,327GB / 327GB,0B / 213kB,24
1772064180174,oai-nr-du,232.68,0.9,1.083GiB / 119.7GiB,329GB / 330GB,0B / 213kB,24
1772064183183,oai-nr-du,229.68,0.9,1.083GiB / 119.7GiB,332GB / 332GB,0B / 213kB,24
1772064186189,oai-nr-du,232.92,0.91,1.083GiB / 119.7GiB,334GB / 335GB,0B / 213kB,24
1772064189199,oai-nr-du,234.15,0.91,1.084GiB / 119.7GiB,337GB / 337GB,0B / 213kB,24
1772064192208,oai-nr-du,230.26,0.9,1.083GiB / 119.7GiB,339GB / 339GB,0B / 213kB,24
1772064195215,oai-nr-du,230.0,0.9,1.083GiB / 119.7GiB,342GB / 342GB,0B / 213kB,24
1772064198221,oai-nr-du,228.28,0.9,1.083GiB / 119.7GiB,344GB / 344GB,0B / 213kB,24
1772064201229,oai-nr-du,226.92,0.9,1.083GiB / 119.7GiB,346GB / 347GB,0B / 221kB,24
1772064204236,oai-nr-du,243.69,0.9,1.082GiB / 119.7GiB,349GB / 349GB,0B / 221kB,24
1772064207243,oai-nr-du,245.02,0.9,1.083GiB / 119.7GiB,351GB / 352GB,0B / 221kB,24
1772064210251,oai-nr-du,244.65,0.9,1.083GiB / 119.7GiB,354GB / 354GB,0B / 221kB,24
1772064213259,oai-nr-du,232.07,0.9,1.083GiB / 119.7GiB,356GB / 357GB,0B / 221kB,24
1772064216266,oai-nr-du,229.84,0.9,1.083GiB / 119.7GiB,359GB / 359GB,0B / 221kB,24
1772064219271,oai-nr-du,234.5,0.9,1.083GiB / 119.7GiB,361GB / 362GB,0B / 221kB,24
1772064222279,oai-nr-du,233.99,0.9,1.083GiB / 119.7GiB,364GB / 364GB,0B / 221kB,24
1772064225288,oai-nr-du,232.03,0.9,1.083GiB / 119.7GiB,366GB / 367GB,0B / 221kB,24
