# start_epoch_ms=1772064465271 interval_s=0.5
ts_epoch_ms,gpu_index,power_draw_w,power_limit_w,temp_gpu_c
1772064465271,0,12.43,[N/A],51
1772064465804,0,12.88,[N/A],51
1772064466328,0,13.35,[N/A],51
1772064466854,0,13.64,[N/A],51
1772064467382,0,13.73,[N/A],51
1772064467907,0,13.80,[N/A],51
1772064468433,0,13.95,[N/A],51
1772064468958,0,14.12,[N/A],51
1772064469484,0,14.23,[N/A],51
1772064470014,0,14.35,[N/A],51
1772064470540,0,14.60,[N/A],51
1772064471064,0,14.91,[N/A],51
1772064471589,0,15.08,[N/A],51
1772064472113,0,15.23,[N/A],52
1772064472639,0,15.42,[N/A],51
1772064473162,0,15.72,[N/A],51
1772064473687,0,16.01,[N/A],52
1772064474213,0,16.33,[N/A],52
1772064474738,0,16.81,[N/A],52
1772064475261,0,17.23,[N/A],52
1772064475788,0,17.41,[N/A],52
1772064476314,0,17.23,[N/A],52
1772064476838,0,17.23,[N/A],52
1772064477365,0,17.34,[N/A],52
1772064477892,0,17.35,[N/A],52
1772064478418,0,17.38,[N/A],52
1772064478943,0,17.35,[N/A],52
1772064479467,0,17.37,[N/A],52
1772064479991,0,17.40,[N/A],53
1772064480515,0,17.37,[N/A],53
1772064481039,0,17.41,[N/A],53
1772064481565,0,17.45,[N/A],53
1772064482088,0,17.48,[N/A],52
1772064482613,0,17.33,[N/A],52
1772064483140,0,17.26,[N/A],52
1772064483664,0,17.27,[N/A],52
1772064484188,0,17.29,[N/A],52
1772064484715,0,17.32,[N/A],52
1772064485242,0,17.41,[N/A],52
1772064485767,0,17.46,[N/A],52
1772064486292,0,17.45,[N/A],52
1772064486815,0,17.46,[N/A],52
1772064487339,0,17.50,[N/A],52
1772064487862,0,17.50,[N/A],53
1772064488387,0,17.44,[N/A],53
1772064488913,0,17.35,[N/A],52
1772064489439,0,17.41,[N/A],52
1772064489962,0,17.47,[N/A],52
1772064490487,0,17.35,[N/A],53
1772064491011,0,17.32,[N/A],53
1772064491535,0,17.35,[N/A],53
1772064492062,0,17.31,[N/A],53
1772064492589,0,17.43,[N/A],53
1772064493112,0,17.48,[N/A],53
1772064493640,0,17.43,[N/A],53
1772064494167,0,17.43,[N/A],53
1772064494692,0,17.48,[N/A],53
1772064495221,0,17.37,[N/A],53
1772064495747,0,17.39,[N/A],53
1772064496273,0,17.41,[N/A],53
1772064496800,0,17.33,[N/A],53
1772064497324,0,17.30,[N/A],53
1772064497849,0,17.37,[N/A],53
1772064498375,0,17.43,[N/A],53
1772064498897,0,17.43,[N/A],53
1772064499421,0,17.50,[N/A],53
1772064499945,0,17.46,[N/A],53
1772064500469,0,17.43,[N/A],53
1772064500993,0,17.39,[N/A],53
1772064501519,0,17.39,[N/A],53
1772064502045,0,17.45,[N/A],53
1772064502569,0,17.49,[N/A],53
1772064503098,0,17.44,[N/A],53
1772064503626,0,17.52,[N/A],53
1772064504151,0,17.54,[N/A],53
1772064504676,0,17.44,[N/A],53
1772064505200,0,17.44,[N/A],53
1772064505726,0,17.44,[N/A],53
1772064506251,0,17.46,[N/A],53
1772064506774,0,17.33,[N/A],53
1772064507298,0,17.38,[N/A],53
1772064507822,0,17.43,[N/A],53
1772064508349,0,17.42,[N/A],53
1772064508874,0,17.45,[N/A],53
1772064509398,0,17.54,[N/A],54
1772064509923,0,17.48,[N/A],53
1772064510447,0,17.33,[N/A],53
1772064510973,0,17.35,[N/A],54
1772064511500,0,17.42,[N/A],53
1772064512026,0,17.37,[N/A],53
1772064512553,0,17.40,[N/A],53
1772064513079,0,17.50,[N/A],53
1772064513607,0,17.63,[N/A],54
1772064514131,0,17.63,[N/A],53
1772064514657,0,17.65,[N/A],53
1772064515183,0,17.54,[N/A],53
1772064515707,0,17.60,[N/A],54
1772064516232,0,17.54,[N/A],53
1772064516757,0,17.44,[N/A],53
1772064517284,0,17.47,[N/A],53
1772064517808,0,17.41,[N/A],54
1772064518334,0,17.55,[N/A],54
1772064518859,0,17.57,[N/A],53
1772064519386,0,17.60,[N/A],53
1772064519912,0,17.59,[N/A],54
1772064520441,0,17.65,[N/A],54
1772064520963,0,17.55,[N/A],53
1772064521488,0,17.49,[N/A],53
1772064522013,0,17.51,[N/A],54
1772064522542,0,17.52,[N/A],53
1772064523068,0,17.50,[N/A],53
1772064523594,0,17.60,[N/A],53
1772064524119,0,17.65,[N/A],53
1772064524643,0,17.69,[N/A],54
